text_customer,text_apple,core_ask,rough_bucket,dm_redirect,notes
@AppleSupport 11.0.2 is newest version according to my updated itunes. all apps are updated,@130561 Thanks for that info. The iOS version that we released recently is iOS 11.1.2. Try updating using your iPhone itself and let us know if you're able to update. We also encourage a backup before just in case. Let us know if you still experience that afterwards in DM. https://t.co/GDrqU22YpT,,,,
before they update any other pointless thing @115858 need to sort out what they have done to images and videos! Why cant I now view or transfer a video I was able to play 30mins ago! @AppleSupport,@155694 We appreciate you getting in touch with us today. Which device is this occurring on? What happens when you try to view the video?,,,,
Every time I turn my phone on Bluetooth randomly turns on and kills my battery @AppleSupport wyd?,@157387 We'd be happy to help out with this. Let's take a look at the Bluetooth settings. How are you turning off Bluetooth?,,,,
@AppleSupport I just bought a new iPhone 8 Plus and the charging seems to be really slow,@136075 Congratulations on your new iPhone 8 Plus! We want to be sure everything is working as expected for you. How long does it take to charge your new iPhone? Are you using the charger that came with it? Which iOS version are you running in Settings &gt; General &gt; About?,,,,
@AppleSupport hello I’ve been trying to get verification code for signing in to my apple ID but I didn’t receive any code. Need help.,"@148419 Hi there! You caught us while we were out of the office. Were you able to get that verification code? If not, where are you attempting to receive it? On an iPhone?",,,,
Can y’all fix the I character please?! I️m tired of seeing this I️ @AppleSupport,@123182 We'd like to work on this with you. Which device are you using and which iOS are you on? Check here: Settings &gt; General &gt; About.,,,,
@AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound,@127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT,,,,
@AppleSupport suspect fraud for you to look into #fraud #crime #dontfallforit https://t.co/hbQ7PGl3bV,@123699 We can help. This looks like a phishing attempt. See how to handle and report these here: https://t.co/6Ye6EtSytB,,,,
The update to macOS High Sierra sucks. It has broken my system. Need recovery. @AppleSupport @AppleSupport,"@156115 We’d like to understand more about this. Please DM us some details and which country you're in, and we’ll take it from there. https://t.co/GDrqU22YpT",,,,
@AppleSupport I have a question,@165259 How can we assist? Let us know the details in DM and we'll start there. https://t.co/GDrqU22YpT,,,,
"this new apple update is horrible, my phones battery life is horrible, siri doesn’t work, and every app is glitching @AppleSupport",@166006 Let's work together to get your device working as it should. Please meet us in DM. https://t.co/GDrqU22YpT,,,,
"@AppleSupport I will send a message to someone, but later he will answer me, his message will be above my message.please help me.",@154903 Hi there. We'd like to look into this. We'd just like to confirm we understand. Are your message threads appearing out of order? DM us and let us know. https://t.co/GDrqU22YpT,,,,
Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport,"@119400 Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: https://t.co/GDrqU22YpT",,,,
"@AppleSupport Thanks for the lead, but still got activation issues. What's the best way to get more help?",@135604 Let's look into this a bit deeper. Let us know in DM which country you're located in. https://t.co/GDrqU22YpT,,,,
@AppleSupport Your new update is killing my battery.  #FixThis,"@165822 We're here for you! Send us a DM, and we'll take a closer look at your device together. https://t.co/GDrqU22YpT",,,,
@AppleSupport Battery draining in recent updates of iOS 11.1 on my iPhone 6s. Why please fix it as soon as possible,"@123039 We've received your DM, and we'll continue working with you there. https://t.co/GDrqU22YpT",,,,
@AppleSupport Issue started when I updated my phone to new ios 11 it sucks its not with any specific app but its with everything if use keypad to dial a p,@165241 Thanks for the update. Reach us via DM to gather more information. https://t.co/GDrqU22YpT,,,,
@AppleSupport Yes,@158626 Thanks. Follow the steps here to change the payment info: https://t.co/1XS6P5fxct  Let us know if this info helps you.,,,,
"@applesupport just updated Apple Watch to 4.1. Is ESPN radio etc only available in USA, can’t get it on my watch in the UK",@117961 We want to help you. That station may not be available. Availability of live stations varies depending on your location.,,,,
"@AppleSupport @115858 sometimes I get these emails that are full of dates, times, and things to do that I wish I could just take a screenshot of it and attach in my calendar. Is this a possibility?",@136089 We can assist you. The following guide provides instructions on how you can include attachments in Calendar events: https://t.co/PP2ob8UU2r,,,,
@AppleSupport The newest one,@140201 Got it. We've received your DM and you'll receive a response shortly to further assist you.,,,,
"@AppleSupport I updated my phone, and it’s still acting up while it’s plugged up😭",@141849 Meet us in DM and fill us in in as much detail as possible on exactly what occurs with the screen touch issue when the iPhone is plugged in. Then from there we will get you taken care of! https://t.co/GDrqU22YpT,,,,
@AppleSupport do you want to tell me what’s going on with my #iphone8plus rear camera? It’s not even 1 week old. #faulty #iphone https://t.co/8qD0cNrxZN,@160220 We're here to help. Which iOS version is your device currently running? This can be found under Settings &gt; General &gt; About.,,,,
@AppleSupport Now when I restart my phone it works but I have to do that every time https://t.co/eVWWexqSxd,"@165458 Got it, thanks! So we can provide you with the next best steps, let's continue to work through DM. https://t.co/GDrqU22YpT",,,,
@AppleSupport my phone has turned itself off and when I put it on charge the logo comes on for a few seconds then goes off then back on again?,"@149733 We can help get your iPhone up and running. Check out the steps in this article to start: https://t.co/8MvHMFZ83h

If you have questions, or need further assistance, let us know.",,,,
@AppleSupport Turned it off and in again and now they’re working. Thank you for the swift response. :),@140211 We're glad to hear that it's working. We hope you enjoy the rest of your day.,,,,
"@AppleSupport Hi Team,
Experiencing a very bad support from Apple with the Case ID: 100339120750, It's already been 9 days with false timelines for closure of things and still there is no committed timeline for closure with resolution. Would request to please expedite the process",@159394 Thanks for reaching out to us here. We'd like to look into this with you. Let's meet in DM. https://t.co/GDrqU22YpT,,,,
"@AppleSupport so annoying that I can’t send e-mails on my iPad or iPhone, and nobody knows how to fix it 😭😭","@159401 We know how important emailing is so you can stay in contact with everyone. Let's get this figured out. To start, do you see any errors when you try to send an email? You can DM us your answer. https://t.co/GDrqU22YpT",,,,
"Hey @AppleSupport, wanna explain to me why my phone won’t stop turning it’s damn WiFi on? I DONT WANT TO USE IT SO STOP TURNING IT ON","@139283 We can help! Are you using iOS 11? If so, check the following article for some guidance on how Wi-Fi works in Control Center: https://t.co/G7BHuQnDS6. To turn off Wi-Fi rather than disable it, you'll want to do so via Settings &gt; Wi-Fi. Let us know if that helps!",,,,
"@AppleSupport Thanks! iPad Air 2 (MGWL2X/A), 11.0.1 (15A402)","@166053 Great, thanks! At this time, we'd like to have you backup and update to iOS 11.0.2 and let us know if that helps with the issue.",,,,
"@AppleSupport, is there a reason some of my emojis are rendering in my mac?  For instance, the taco emoji is a placeholder square.  Thanks! https://t.co/p0L9JqtNUO",@167315 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,,,
@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,,,,
"Hello,i have a question but i'm not sure is that possible, we have 150 ipads and we use apple configurator 2 for install apps to devices. First we connect devices to imac then we install with app configurator, can we install apps without connect to imac ?@AppleSupport #apple",@123702 Hello! You'll want to work with our Enterprise support team on this. You can reach them through this link: https://t.co/IBIY3vMgPj,,,,
@AppleSupport suddenly my back camera of iPhone 7 Plus stops working &amp; I called to Apple care.they run diagnostic test &amp; told me your camera sensor is not working.u need to pay for tht,@148902 We've received your DM and will continue there with you to discuss this further.,,,,
1 semaine et mon iPhone tombe vraiment en ruine... il ne vibre pas et ne sonne pas. Merci @AppleSupport de faire des mises à jours pour l’iPhone X mais occupez vous des autres aussi,@143657 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,,
"@AppleSupport Seems to turn on randomly while on a transit bus or lrt even though I tell it not to, as I’m not driving.",@127757 Check out this link for more information on that: https://t.co/G7BHuQnDS6,,,,
