text_customer,text_apple,core_ask,rough_bucket,dm_redirect,notes
"@AppleSupport It will verify for a good few minutes and then come up saying update error, only got the iPad a few hours ago","@153199 Alright. Let's go ahead and try each of the steps in this article: https://t.co/4dqFR4gH4g

If the issue persists afterward, send us a DM using the link below. https://t.co/GDrqU22YpT",to solve the update error thats been showing,update_installation,Y,
@115858 after the new apple updates: the battery life is really go fast and the WiFi is always on! @AppleSupport #newappleupdates,@117189 We'd love to help. Let's work on this together in DM. Start by letting us know what kind of device you are using. https://t.co/GDrqU22YpT,he is replying to someone else's query,battery_performance,Y,
@AppleSupport Here we go! Any ideas? https://t.co/TnZTVZRH6w,@135633 We're glad you were able to partially resolve your issue. Let's continue via DM. Reach out using the link below and let us know if you've restared your Mac since making these changes. https://t.co/GDrqU22YpT,probably to solve an issue regarding Mac's settings being changed,bug_report,Y,
@AppleSupport Thank you! I use the Gmail app for mail so is there a way to fetch for Gmail but not for the iPhone mail app?,@161508 Go ahead and send us a DM please. Let us know the country you're in. https://t.co/GDrqU22YpT,a way to fetch email(probably) from gmail instead of iphone mail app,feature_howto,Y,asked the country
@AppleSupport I think it keeps getting knocked off of the charger at night some how. When I put it on the charger this morning it was really low battery I will keep you updated on it. Thanks for the reply.,@156813 Great. Send us a DM if you are still having issues with it. https://t.co/GDrqU22YpT,the charger gets disconnected in the night when kept on charging,hardware_issue,Y,
@AppleSupport  still haven't got IOS 11 to download on my 7plus device. Can you help? xXxXx,"@171698 Absolutely, we’d be happy to help! Are you trying to update through the settings on the iPhone or through iTunes on a computer?",didnt get the IOS 11 update,update_installation,N,
"@AppleSupport iOS 11 bug. Bluetooth turn off, show pairing for earphones in public which not belong to me.",@161526 Thank you for reaching out to us about Bluetooth. Please send us a DM with which device you're using. https://t.co/GDrqU22YpT,"bluetooth getting pair request even when turned off, that too from strangers",bug_report,Y,
"@AppleSupport Restarting the phone does not work. When my wife and I FaceTime and hit the home button for something, that’s when it triggers the problem. I asked her to hit the home button on her end so when she came back to FaceTime, it triggered it on her end as well","@143489 Got it, thanks! Recently we did release an update to iOS 11.1.2 that may help with this issue. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",talking about a problem when Face Timing,bug_report,N,
@AppleSupport Latest iOS. Has always happened with the iPhone X,@137635 We'd be happy to look into this with you further. DM us using the link below and we'll go from there. https://t.co/GDrqU22YpT,talking about an issue happening with iPhoneX,bug_report,Y,
@AppleSupport 11.0.2 is newest version according to my updated itunes. all apps are updated,@130561 Thanks for that info. The iOS version that we released recently is iOS 11.1.2. Try updating using your iPhone itself and let us know if you're able to update. We also encourage a backup before just in case. Let us know if you still experience that afterwards in DM. https://t.co/GDrqU22YpT,thinks they're already on the latest iOS but Apple says a newer version (11.1.2) exists and asks them to update,update_installation,N,customer mistakenly believes 11.0.2 is newest; Apple corrects and recommends updating on-device
before they update any other pointless thing @115858 need to sort out what they have done to images and videos! Why cant I now view or transfer a video I was able to play 30mins ago! @AppleSupport,@155694 We appreciate you getting in touch with us today. Which device is this occurring on? What happens when you try to view the video?,"can no longer view or transfer a video after a recent update, wants it fixed",bug_report,N,"frustrated tone, blames update for breaking photos/video handling; Apple asks clarifying questions instead of redirecting to DM"
Every time I turn my phone on Bluetooth randomly turns on and kills my battery @AppleSupport wyd?,@157387 We'd be happy to help out with this. Let's take a look at the Bluetooth settings. How are you turning off Bluetooth?,Bluetooth randomly turns itself back on and drains the battery,battery_performance,N,"Apple asks a clarifying question about how they're turning Bluetooth off, no DM yet"
@AppleSupport I just bought a new iPhone 8 Plus and the charging seems to be really slow,@136075 Congratulations on your new iPhone 8 Plus! We want to be sure everything is working as expected for you. How long does it take to charge your new iPhone? Are you using the charger that came with it? Which iOS version are you running in Settings &gt; General &gt; About?,"new iPhone 8 Plus is charging slowly, wants to know why",hardware_issue,N,"brand new device, Apple asks about charger used and charge time before troubleshooting further"
@AppleSupport hello I’ve been trying to get verification code for signing in to my apple ID but I didn’t receive any code. Need help.,"@148419 Hi there! You caught us while we were out of the office. Were you able to get that verification code? If not, where are you attempting to receive it? On an iPhone?",never received the two-factor/verification code needed to sign into Apple ID,account_security,N,Apple asks where they're trying to receive the code and on what device
Can y’all fix the I character please?! I️m tired of seeing this I️ @AppleSupport,@123182 We'd like to work on this with you. Which device are you using and which iOS are you on? Check here: Settings &gt; General &gt; About.,wants the 'smart quote'/autocorrect rendering of the letter I fixed,bug_report,N,"annoyed tone (repeated exclamation), Apple asks for device and iOS version"
@AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound,@127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT,"phone freezes, can't send texts or make calls, sometimes no sound, has to restart repeatedly",bug_report,Y,"multiple stacked issues, Apple asks to continue troubleshooting in DM"
@AppleSupport suspect fraud for you to look into #fraud #crime #dontfallforit https://t.co/hbQ7PGl3bV,@123699 We can help. This looks like a phishing attempt. See how to handle and report these here: https://t.co/6Ye6EtSytB,flags a suspicious/fraudulent message or link for Apple to review,account_security,N,"Apple identifies it as a likely phishing attempt and points to reporting guidance, no DM"
The update to macOS High Sierra sucks. It has broken my system. Need recovery. @AppleSupport @AppleSupport,"@156115 We’d like to understand more about this. Please DM us some details and which country you're in, and we’ll take it from there. https://t.co/GDrqU22YpT",macOS High Sierra update broke their system and they need it recovered,update_installation,Y,"strong negative reaction ('sucks'), Apple asks for details and country in DM"
@AppleSupport I have a question,@165259 How can we assist? Let us know the details in DM and we'll start there. https://t.co/GDrqU22YpT,has an unspecified question for Apple support,other_unclear,Y,"no detail given at all about the actual issue, Apple asks to continue in DM"
"this new apple update is horrible, my phones battery life is horrible, siri doesn’t work, and every app is glitching @AppleSupport",@166006 Let's work together to get your device working as it should. Please meet us in DM. https://t.co/GDrqU22YpT,"update made battery life bad, broke Siri, and is causing apps to glitch",update_installation,Y,"multiple issues attributed to a single recent update, Apple asks to meet in DM"
"@AppleSupport I will send a message to someone, but later he will answer me, his message will be above my message.please help me.",@154903 Hi there. We'd like to look into this. We'd just like to confirm we understand. Are your message threads appearing out of order? DM us and let us know. https://t.co/GDrqU22YpT,"messages they send appear out of order in the thread, with replies showing above their own message",bug_report,Y,Apple restates the issue as message threads appearing out of order and asks to confirm via DM
Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport,"@119400 Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: https://t.co/GDrqU22YpT",iPhone battery is degrading much faster than expected,battery_performance,Y,Apple asks for iPhone model and iOS version via DM
"@AppleSupport Thanks for the lead, but still got activation issues. What's the best way to get more help?",@135604 Let's look into this a bit deeper. Let us know in DM which country you're located in. https://t.co/GDrqU22YpT,still has device/service activation issues after trying a previous suggested fix,bug_report,Y,"vague on specifics, Apple asks for country in DM to dig deeper"
@AppleSupport Your new update is killing my battery.  #FixThis,"@165822 We're here for you! Send us a DM, and we'll take a closer look at your device together. https://t.co/GDrqU22YpT",a recent software update is killing their battery,battery_performance,Y,"uses #FixThis hashtag showing frustration, Apple offers to look at the device via DM"
@AppleSupport Battery draining in recent updates of iOS 11.1 on my iPhone 6s. Why please fix it as soon as possible,"@123039 We've received your DM, and we'll continue working with you there. https://t.co/GDrqU22YpT","battery is draining fast after updating to iOS 11.1 on an iPhone 6s, wants an urgent fix",battery_performance,Y,"urgent tone ('as soon as possible'), Apple confirms they already have a DM and will continue there"
@AppleSupport Issue started when I updated my phone to new ios 11 it sucks its not with any specific app but its with everything if use keypad to dial a p,@165241 Thanks for the update. Reach us via DM to gather more information. https://t.co/GDrqU22YpT,"since updating to iOS 11, everything is broken, not just one app, including keypad dialing",update_installation,N,"broad post-update breakage, Apple asks to move to DM to gather more info"
@AppleSupport Yes,@158626 Thanks. Follow the steps here to change the payment info: https://t.co/1XS6P5fxct  Let us know if this info helps you.,"simple confirmation ('Yes') to an earlier question, in context appears to be about updating payment/billing info",billing_payment,N,Apple responds with a link on how to change payment info; little standalone context
"@applesupport just updated Apple Watch to 4.1. Is ESPN radio etc only available in USA, can’t get it on my watch in the UK",@117961 We want to help you. That station may not be available. Availability of live stations varies depending on your location.,wants to know why an ESPN radio station isn't available on their Apple Watch in the UK,feature_howto,N,"Apple explains station availability depends on location, no DM"
"@AppleSupport @115858 sometimes I get these emails that are full of dates, times, and things to do that I wish I could just take a screenshot of it and attach in my calendar. Is this a possibility?",@136089 We can assist you. The following guide provides instructions on how you can include attachments in Calendar events: https://t.co/PP2ob8UU2r,asks if there's a way to save details from an email (dates/times/to-dos) directly into a Calendar event,feature_howto,N,Apple points to a guide on adding attachments to Calendar events
@AppleSupport The newest one,@140201 Got it. We've received your DM and you'll receive a response shortly to further assist you.,short reply ('The newest one') confirming device/iOS details in an ongoing update-troubleshooting thread,update_installation,Y,"continuation of a prior DM conversation, Apple confirms they'll follow up there"
"@AppleSupport I updated my phone, and it’s still acting up while it’s plugged up😭",@141849 Meet us in DM and fill us in in as much detail as possible on exactly what occurs with the screen touch issue when the iPhone is plugged in. Then from there we will get you taken care of! https://t.co/GDrqU22YpT,"phone still has a screen touch problem while charging, even after updating",bug_report,Y,"issue persists post-update, Apple asks for full detail on the touch issue via DM"
@AppleSupport do you want to tell me what’s going on with my #iphone8plus rear camera? It’s not even 1 week old. #faulty #iphone https://t.co/8qD0cNrxZN,@160220 We're here to help. Which iOS version is your device currently running? This can be found under Settings &gt; General &gt; About.,"brand-new iPhone 8 Plus's rear camera isn't working properly, less than a week old",hardware_issue,N,"Apple asks for iOS version before further troubleshooting, no DM yet"
@AppleSupport Now when I restart my phone it works but I have to do that every time https://t.co/eVWWexqSxd,"@165458 Got it, thanks! So we can provide you with the next best steps, let's continue to work through DM. https://t.co/GDrqU22YpT",phone only works correctly right after a restart and the problem keeps coming back,bug_report,Y,"recurring issue requiring frequent restarts, Apple continues troubleshooting in DM"
@AppleSupport my phone has turned itself off and when I put it on charge the logo comes on for a few seconds then goes off then back on again?,"@149733 We can help get your iPhone up and running. Check out the steps in this article to start: https://t.co/8MvHMFZ83h

If you have questions, or need further assistance, let us know.",phone turns off on its own and the logo flickers on/off repeatedly when put on charge,hardware_issue,N,"possible boot-loop type hardware fault, Apple points to a troubleshooting article"
@AppleSupport Turned it off and in again and now they’re working. Thank you for the swift response. :),@140211 We're glad to hear that it's working. We hope you enjoy the rest of your day.,no longer needs help — restarting the device fixed the earlier problem,other_unclear,N,"issue resolved by a restart, this message is just a thank-you"
"@AppleSupport Hi Team,
Experiencing a very bad support from Apple with the Case ID: 100339120750, It's already been 9 days with false timelines for closure of things and still there is no committed timeline for closure with resolution. Would request to please expedite the process",@159394 Thanks for reaching out to us here. We'd like to look into this with you. Let's meet in DM. https://t.co/GDrqU22YpT,"existing support case has been open 9 days with no committed resolution timeline, wants it expedited",support_escalation,Y,"explicit case ID given, frustration with delays, Apple asks to meet in DM"
"@AppleSupport so annoying that I can’t send e-mails on my iPad or iPhone, and nobody knows how to fix it 😭😭","@159401 We know how important emailing is so you can stay in contact with everyone. Let's get this figured out. To start, do you see any errors when you try to send an email? You can DM us your answer. https://t.co/GDrqU22YpT",can't send emails from iPad or iPhone and no one has been able to fix it,bug_report,Y,"frustrated tone, Apple asks if there are error messages and to reply via DM"
"Hey @AppleSupport, wanna explain to me why my phone won’t stop turning it’s damn WiFi on? I DONT WANT TO USE IT SO STOP TURNING IT ON","@139283 We can help! Are you using iOS 11? If so, check the following article for some guidance on how Wi-Fi works in Control Center: https://t.co/G7BHuQnDS6. To turn off Wi-Fi rather than disable it, you'll want to do so via Settings &gt; Wi-Fi. Let us know if that helps!",annoyed that Wi-Fi keeps turning itself back on even after being turned off,feature_howto,N,Apple explains this is expected Control Center behavior in iOS 11 and links a guide
"@AppleSupport Thanks! iPad Air 2 (MGWL2X/A), 11.0.1 (15A402)","@166053 Great, thanks! At this time, we'd like to have you backup and update to iOS 11.0.2 and let us know if that helps with the issue.",provides device model and iOS version in an ongoing update-troubleshooting thread,update_installation,N,Apple asks them to back up and update to iOS 11.0.2 to see if it resolves things
"@AppleSupport, is there a reason some of my emojis are rendering in my mac?  For instance, the taco emoji is a placeholder square.  Thanks! https://t.co/p0L9JqtNUO",@167315 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,some emojis (e.g. taco) render as placeholder squares on Mac,bug_report,Y,Apple asks to continue troubleshooting via DM
@AppleSupport iPhone 7 Plus 😊,@115865 Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?,short reply ('iPhone 7 Plus') giving device info in an ongoing troubleshooting thread,other_unclear,N,"minimal standalone context, Apple follows up asking for iOS version"
"Hello,i have a question but i'm not sure is that possible, we have 150 ipads and we use apple configurator 2 for install apps to devices. First we connect devices to imac then we install with app configurator, can we install apps without connect to imac ?@AppleSupport #apple",@123702 Hello! You'll want to work with our Enterprise support team on this. You can reach them through this link: https://t.co/IBIY3vMgPj,asks if it's possible to install apps to ~150 iPads via Apple Configurator without connecting each to an iMac first,feature_howto,N,"bulk/enterprise deployment question, Apple redirects to the Enterprise support team"
@AppleSupport suddenly my back camera of iPhone 7 Plus stops working &amp; I called to Apple care.they run diagnostic test &amp; told me your camera sensor is not working.u need to pay for tht,@148902 We've received your DM and will continue there with you to discuss this further.,iPhone 7 Plus rear camera stopped working; Apple Care diagnosed a faulty sensor and wants to charge for repair,hardware_issue,Y,"already been in contact with Apple Care by phone, now continuing via DM"
1 semaine et mon iPhone tombe vraiment en ruine... il ne vibre pas et ne sonne pas. Merci @AppleSupport de faire des mises à jours pour l’iPhone X mais occupez vous des autres aussi,@143657 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"iPhone (only a week old) won't vibrate or ring, asks Apple to also support other iPhone models, not just iPhone X",bug_report,N,"message is in French, Apple redirects to language-appropriate support channel instead of troubleshooting"
"@AppleSupport Seems to turn on randomly while on a transit bus or lrt even though I tell it not to, as I’m not driving.",@127757 Check out this link for more information on that: https://t.co/G7BHuQnDS6,"Wi-Fi keeps turning itself on randomly while commuting on transit, despite turning it off",feature_howto,N,"same underlying Control Center Wi-Fi behavior as a related case, Apple links the same explainer article"
